Q1|HAZEL, Choose your destination|Secluded Beach,Mountain,City Penthouse,Luxury Spa Retreat,European Beach Club,Masquerade Ball
Q2_Beach|We find the most secluded spot, hidden by giant dunes. No one can see us. What's the FIRST thing you want me to do?|Undress you slowly and kissing every inch of skin as I reveal it.,Push you down onto the sand pin your wrists above your head and take you right there hard and fast.,Lay you down and let me take control—I want to worship YOUR body first.,Carry you into the warm water and do you against the waves., Other
Q3_Beach|The sun has set, the moon is out, and we're skinny dipping. What happens next?|You float on your back and I hold you slowly making love to you in the water while you stare at the stars.,you get on your knees in the shallow water and take me in your mouth (BJ) while the waves crash around us.,I push You up against the rocks and have me way with you—you love when I'm aggressive.,We get out dry off and I lay you down on the blanket and tease you forever before I finally enter you.,Other
Q4_Beach|We hear voices in the distance—people are walking near our spot. They could see us at any moment. What do you want to do?|Freeze and stay completely still holding our breath while I stay inside You—the danger makes it so much hotter.,Cover your mouth with me hand and keep going even faster and harder.,Pull away laugh and then drag you into the water to hide—and finish you there.,Ignore them completely. you want me to keep going and make you moan even louder—you want them to HEAR.,Other
Q5_Beach|It's our last night on the beach. We have one more sunset. What's your fantasy finale?|You make love to me slowly and gently as the sun dips into the ocean—romantic passionate unforgettable.,We do it one last time in the water then collapse on the sand breathless and laughing.,I give you a full body massage with coconut oil under the stars and then we fall asleep naked on the blanket.,I take you from behind on all fours in the sand with the waves crashing at our feet.,Other
Q2_Mountain|We just arrived at the lodge. You're still in your warm winter coat. I take it off you slowly. What's the FIRST thing you want?|For Me to kiss your neck while I unzip your coat then push it off your shoulders and let it fall.,To push you against the wooden door lift you up and have you wrap your legs around me.,To take your hand and lead you to the bedroom without saying a single word.,To build a fire first while I watch you then come warm you up with my body.,Other
Q3_Mountain|The fire is roaring, snow is falling outside, and we're both naked under a giant fur blanket. What's your move?|You want me to trace your body with my fingers until you are trembling then slowly enter you from behind while we watch the fire.,you want to push me onto my back climb on top and ride me while the firelight dances on our skin.,you want me to sit against the headboard and have you sit in my lap facing you so we can kiss deeply the whole time.,you want me to warm you up by kissing every inch of your feet or legs or stomach... everywhere.,Other
Q4_Mountain|We're snowed in. No one can reach us. We have ALL day. What's the FIRST thing you want to do when we wake up?|Wake you up by going down on you before you even open your eyes.,Make you a hot coffee and bring it to you in bed then slowly kiss your neck until we can't resist.,Push you onto the bed straddle you and tell you you're not allowed to move until I say so.,Put on nothing but a thick sweater sit in my lap by the fire and kiss you forever before we even think about sex.,Other
Q5_Mountain|The fire is dying, the cabin is freezing, and we HAVE to share one sleeping bag to survive. How do we 'survive'?|Skin to skin facing each other legs intertwined slow and deep while we whisper.,i spoon you from behind wrap my arms around you and take you slowly while you close your eyes.,We take turns—one of us on top then the other—to 'generate body heat'... a lot.,We just kiss and touch all night building up the tension until sunrise then we EXPLODE.,Other
Q2_City|We step into the penthouse. The city lights are glowing below. The door clicks shut. What do you want me to do FIRST?|Press you against the floor-to-ceiling window kiss you deeply and let the whole city watch.,Throw you on the giant bed and rip your clothes off like you can't wait another second.,Pour us both a drink stand with me at the window and kiss you slowly while the city buzzes below.,Get on your knees in front of me right there by the window and make me BJ.,Other
Q3_City|We've had a few drinks. The city is sparkling. I tell you I want to do something we've never done before. What do you HOPE it is?|Take you against the window with your hands pressed against the glass.,Use that silk tie on your wrists and have complete control over you.,Order room service and answer the door completely naked under your robe.,Put on some music dance with me slowly and then make love to me on the floor.,Other
Q4_City|We've been at the rooftop bar. Everyone's been eyeing us. We get back to the room, still dressed in our glamorous outfits. What happens?|I push you against the door still fully dressed and kiss you like I am starving.,You tell me to take off YOUR clothes slowly—you want to be worshipped first.,i make you stand against the window and you get on your knees in front of me.,I lead You to the bed push you down and ride me while still wearing that stunning dress.,Other
Q5_City|We have one more night in the penthouse. It's our final fling. What's your ULTIMATE city fantasy?|i blindfold you and have me way with you—you want to feel everything without seeing it.,We take a bubble bath together in that giant tub then move to the bed then back to the window.,We order champagne put on slow music and you dance with me naked by the window.,i tell you to get on your knees and i use you however i want—then we switch roles.,Other
Q2_Spa|We're at the co-ed nude pool. Everyone is completely naked. We see a couple getting handsy in the corner. What's your reaction?|your are shy at first but you love it. you want to hold my hand and just watch them.,you are intrigued and you whisper to me that we should try to outdo them.,It turns you on and you want to find a more private spot and do the same thing with you.,It makes you nervous but you love the exhibitionism of it—you would want me to touch you right there in the water.,Other
Q3_Spa|We book a private couples massage. The masseuse asks if we want a 'full body' experience. We say yes. What's your fantasy for that?|you want Us to make love on the massage beds without caring if someone might enter suddenly.,you want me to undress you and prepare you for the massage even the massauses were there.,you want us to take shower together there naked.,you will wait until we are alone then do what we want.,Other
Q4_Spa_Male|The male masseuse is working on you. His hands move to your inner thighs. He asks if you want him to go 'higher.' What do you say?|Yes please. you close your eyes and let him take you there.,you say yes but you ask if I can be the one to finish You off while he watches.,You say yes—and then You ask if You can return the favor for HIM.,You say no—You only want My hands on You not anyone else's.,Other
Q4_Spa_Female|Now it's a FEMALE masseuse for YOU. She's gorgeous, her hands are gliding over your breasts, she's leaning in close. What happens next?|you kiss her. you want to taste her lips while her hands keep working on you.,you take her hand and guide it lower. you want HER to finish you.,you stop her and ask me to join in—you want BOTH of us touching you at the same time.,It's too much. you pull away and say 'you only want your boyfriend's hands.',Other
